"Species","Genus","Family","Ordo","Class","Phylum"
"Ascarophis_longiovata_Moravec_&_Klimpel,_2009","Ascarophis_[Nematoda]","Cystidicolidae","Spirurida","Secernentea","Nematoda"
"Ascarophis_mexicana_Moravec,_Salgado-Maldonado_&_Vivas-Rodriguez,_1995","Ascarophis_[Nematoda]","Cystidicolidae","Spirurida","Secernentea","Nematoda"
"Ascarophis_minuta_Ko,_1985","Ascarophis_[Nematoda]","Cystidicolidae","Spirurida","Secernentea","Nematoda"
"Ascarophis_morrhuae_van_Beneden,_1871","Ascarophis_[Nematoda]","Cystidicolidae","Spirurida","Secernentea","Nematoda"
"Ascarophis_mullus_Naidenova_&_Nikolaeva,_1968","Ascarophis_[Nematoda]","Cystidicolidae","Spirurida","Secernentea","Nematoda"
"Ascarophis_nasonis_Machida,_1981","Ascarophis_[Nematoda]","Cystidicolidae","Spirurida","Secernentea","Nematoda"
"Ascarophis_parupenei_Moravec,_Orecchia_&_Paggi,_1988","Ascarophis_[Nematoda]","Cystidicolidae","Spirurida","Secernentea","Nematoda"
"Ascarophis_slankisi_Soloveva,_1987","Ascarophis_[Nematoda]","Cystidicolidae","Spirurida","Secernentea","Nematoda"
"Ascarophis_sobolevi_Parukhin,_1989","Ascarophis_[Nematoda]","Cystidicolidae","Spirurida","Secernentea","Nematoda"
"Ascarophis_valentina_Ferrer,_Aznar,_Balbuena,_Kostadinova,_Raga_&_Moravec,_2005","Ascarophis_[Nematoda]","Cystidicolidae","Spirurida","Secernentea","Nematoda"
"Ascelichthys_rhodorus_Jordan_&_Gilbert,_1880","Ascelichthys_[Chordata]","Cottidae","Scorpaeniformes","Actinopterygii","Chordata"
"Asceptrulum_axialis_Duplessis_&_Reiswig,_2004","Asceptrulum_[Porifera]","Farreidae","Hexactinosida","Hexactinellida","Porifera"
"Ascetomolgus_plicatus_Humes_&_Stock,_1972","Ascetomolgus_[Arthropoda]","Rhynchomolgidae","Poecilostomatoida","Maxillopoda","Arthropoda"
"Ascidia_achimotae_Millar,_1953","Ascidia_[Chordata]","Ascidiidae","Enterogona","Ascidiacea","Chordata"
