Species,Genus,Family,Ordo,Class,Phylum
"Abatus_elongatus_(Koehler,_1908)",Abatus_[Echinodermata],Schizasteridae,Spatangoida,Echinoidea,Echinodermata
"Abatus_ingens_Koehler,_1926",Abatus_[Echinodermata],Schizasteridae,Spatangoida,Echinoidea,Echinodermata
"Abatus_nimrodi_(Koehler,_1911)",Abatus_[Echinodermata],Schizasteridae,Spatangoida,Echinoidea,Echinodermata
"Abatus_philippii_Loven,_1871",Abatus_[Echinodermata],Schizasteridae,Spatangoida,Echinoidea,Echinodermata
"Abatus_shackletoni_Koehler,_1911",Abatus_[Echinodermata],Schizasteridae,Spatangoida,Echinoidea,Echinodermata
"Abdiacyclops_cirratus_Karanovic,_2005",Abdiacyclops_[Arthropoda],Cyclopidae,Cyclopoida,Maxillopoda,Arthropoda
"Abditacythere_subterranea_Hartmann,_1964",Abditacythere_[Arthropoda],Cytheridae,Podocopida,Ostracoda,Arthropoda
"Abdopus_aculeatus_(d'Orbigny,_1834)",Abdopus_[Mollusca],Octopodidae,Octopoda,Cephalopoda,Mollusca
"Abdopus_undulatus_Huffard,_2007",Abdopus_[Mollusca],Octopodidae,Octopoda,Cephalopoda,Mollusca
"Abebaioscia_troglodytes_Vandel,_1973A",Abebaioscia_[Arthropoda],Philosciidae,Isopoda,Malacostraca,Arthropoda
"Abergasilus_amplexus_Hewitt,_1978",Abergasilus_[Arthropoda],Ergasilidae,Poecilostomatoida,Maxillopoda,Arthropoda
"Aberomysis_muranoi_Bacescu_&_Iliffe,_1986",Aberomysis_[Arthropoda],Mysidae,Mysida,Malacostraca,Arthropoda
"Aberranta_banyulensis_Mackie,_Pleijel_&_Rouse,_2005",Aberranta_[Annelida],Aberrantidae,Spionida,Polychaeta,Annelida
"Aberranta_enigmatica_Hartman,_1965",Aberranta_[Annelida],Aberrantidae,Spionida,Polychaeta,Annelida
"Aberranta_palpata_Wolf,_1987",Aberranta_[Annelida],Aberrantidae,Spionida,Polychaeta,Annelida
"Aberranta_sulcata_Mackie,_Pleijel_&_Rouse,_2005",Aberranta_[Annelida],Aberrantidae,Spionida,Polychaeta,Annelida
"Aberrapex_manjajiae_Jensen,_2006",Aberrapex_[Platyhelminthes],Lecanicephalidea_incertae_sedis,Lecanicephalidea,Cestoda,Platyhelminthes
